,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
71,good mixer groups people,full news everybody,always broad friendships many different people,prefer join talk group,always talk easily everyone,sometimes introduce sometimes others,really get know tell,show feelings freely,plan day,always help,always organize carefully start,prefer free whatever looks like fun time comes,appeals,find nicer able plan accordingly,successful dealing unexpected seeing quickly done,daily work plan work,would teach fact based courses,always way,admire people dont care im making centre attention,usually get along better realistic people,fond reading,would rather consider practical person,would rather someone friend always coming new ideas,heart often rule head,person abilities say,sometimes value emotions logic sometimes
72,bit extrovert good mixer talk anyone topic,mostly im one news reports,sure deep friendships fewer people better,join talk infact ill start talk group,talk easily anyone talk lot certain people,think get introduced others,tell sometime knowing,often keep feelings,plan trip like things organized sometimes unplanned trips unforgettable,actually helps alot things get easier done,ill organize basics first sort remainings,ill sounds fun,following schedule good sometimes makes robo cramps,want things done according pace,follow plan also deal unexpected things,truly dont like work pressure,would surely teach course involving opinions different opinions single topic makes sense relate real life problems,ill try best invent way,admire people behaving unnecessarily behaving center attention,depending nature ill go realistic people,love odd ways saying things,guess im bit box thinker,someone new ideas coming better option friends,mostly head rules heart sometimes listening heart better option,person real feelings higher complement people get attracted towards kinda person,emotions priority
73,good mixer group people,second option,second option,borh,nd,nd,nd option,st,plan day,help,first option,nd option,cramp,first option,second option,nd option,fact bases sources,first options,second option,,nd,first,st option,head rule heart,nd option,st option
74,good mixer close ones,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,get introduced,really get know,show feelings freely,would obviously plan whole day,stress,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,enjoy emergency makes work time,courses involving opinion theory,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,box thinking person,someone feet ground,heart rule head,person real feeling,value logic feelings
75,time reserved quiet respect peace alot,last hear going haha,deep friendship people,stand back listen first,theres,introduce others,get know,keep feelings,go without plans,positively depresses,would organizw things first start working,enjoy alone time im free enjoy company like visit seaside fresh mind,cramps,feels nice,worked plan,honestly enjoy emergency period,would teach courses involves opinions,obviously invent way,normal acting ones admire,realistic ones,honestly dont read,practical person,new ideas,kinda hard question let heart rule head,point view someone says person real feelings doesnt fake hits like kinda people fake world people real feelings,value emotions logic
76,depends im hanging,full news,deep friendship,join,find lot say,get introduced,getting know,keep,depends,help,organize,free,appeal,nice able plan accordingly,following plan,enjoy emergency,fact based,accepted way,normal acting,realistic,dont read,practical,feet ground,head rule heart,reasonable,value logic
77,good mixer,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,would like go proper plan,stress,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,fact based,accepted way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
78,quite reserved,always full news everybody,deep friendship people,stand back listen first,talk easily almost anyone long,get introduced,really get know,show feelings freely,yes plan going somewhere,help make list,organize carefully first,prefer free whatever looks like fun time comes,appeal,certain thing certain time,unexpected seeing quickly done,usually plan work wont need work pressure,fact based,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,practical person,friend always coming new ideas,often head rule heart,consistently reasonable person,value logic feelings
79,reserved,full news,broad friendship people,stand back listens first,lot say certain people,get introduced,right away,keep feelings self,go plan,stress,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,enjoy emergency makes work time,fact based courses,depends situation,normal acting never make centre attention,realistic people,odd original ways saying things,practical person,someone always coming new ideas,depends situation,person real feeling,value emotion logic
80,good mixer,last one,,listen first,talk easily,bth depending situation,right away,show feelings,sometimes plan sometimes dont,dont make list,organize carefully,arrange advance,cramp,unpleasant,unplanned,enjoy emergency,opinion theory,,normal,,odd original way,,,let heart rule,person real feeling,emotion
81,within age due reason become quiet one,full news everybody bcz friends socialize alot tell everything oops,deep friendship people,join talk depend people getting along,find lot say certain people actually people,get introduced,really get know,keep feelings,depends going mostly planned,helps ofc actually managing,organize first,free whatever looks like fun,appeal,nice able plan accordingly,following preplanned thing,hate work pressure panic soo bad,opinion theory,accepted way,plzzz youre actually attention seeker dont come bcz prolly kill,realistic ones sure,odd original ways,ig age still young practical yes box sometimes,new good ideas,head rule heart cases,consistently reasonable person,logic feelings
82,depends people,one last hear,broad many,stand back listen,certain people,depends group,second opt,first,plan,stresses,organise first,arrange,appeal,plan,first option,first,fact based courses,accepted way,dont know,imaginative,dont know,first one,first opt,head rule heart,real person,feelings
83,good mixer people,usually one full news everyone,mixture loads friends deep friendship,join talk group,talk easily anyone long burden either participants,well depends upon company time introduce people often like get introduced,get know,totally depends upon people moments express heart moments try keep feelings,sometimes planned sometimes,helps,find necessary go along,arrange picnics one also something spontaneously done,sometimes appealing sometimes cramps,nice plan accordingly,depends situation,daily life usually plan work dont get stressed,course involving opinions,would invent way,sometimes good act normal dont become centre attention sometimes one original,imaginative people,odd way saying things,box thinking person,someone new odeas,heart rule head,person real feelings,value emotions logic equally
84,good mixer,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce othe,right away,keep feelings,go without plans,positively depress,organize carefully start,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,fact based,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
85,good mixer,going,deep,talk group,almost anyone,,right away,freely,go plan,help,organise,free,appeal,plan accordingly,worked plan,pressure,fact based,invent way,original,realistic people,mean,practical person,,head rule heart,real feeling,emotions
86,usually good mixer,full news,deep friendship,listen first,talk easily,introduce others,certain time,express expressions youre talking words keep,sometimes plan sometimes go without plan,help,organize,first one,appeal,nice able plan accordingly,nvm,mid one,fact based,accepted way modify according needs,normalactinf never make center attention,imaginative,like writers,,coming new ideas,subjective people heart rule head opposite majority time head rule heart,person real feeling,feelings
87,,full news,deep,listen first,easily talk,neither,right away,freely friends,depends place usually go without plan,helps positively,organize,free whatever,cramp guess good deep know,planning good sometimes wonna finish,neither,really control,fact based,depends situation,didnt understand properly guess first one,realistic good,odd,overthinking sure practical,dont know say,heart rule head,real feeling,gotta balance logic isnt important always sometimes respect values get way
88,good mixer love hanging new company new friends,,broad many,join,talk easily,introduce others,really get know,depending situation,depends ocassion company going family ill go flow going friends plan,helps,go along,time comes,appeal,nice able plan,dealing unexpectedly,work pressure,fact based courses,invent way,normalacting never make center attention,realistic,exctly mean,practical,new ideas,always heart brain,dont really know,logic
89,good mixer,last,deep friendship people,stand back listen,talk easily almost anyone long,get inteoduced,know,keep feelings,plan,help,organize carefully starting,free whatever looks like fun time comes,appeal,little unpleasant tied,little bit,usually plan work iwont need work pressure,fact based theories,,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,let head rule heart,person real feeling,value logic emotion
90,good mixer,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,always plan,helps staying organized always list completing gives sense accomplishment,organize carefully start,arrange picnics parties etc well advance,appeals,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,normalacting never make center attention,realistic people,writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,logic feelings
91,quiet reserved,try best become one news everyone,depp friendship ones,listen first,certain people certain conditions,introduce others,know,keep feelings self,sometimes plan things always go plan thats go without plan,surely stress,prefer organize,prefer arrange something,cramp,depends sometimes feel nice sometimes little unpleasant,successful following worked plan,hate work pressure,courses based facts,depends times things accepted way,normal acting people,realistic,writers,box,feet ground,heart rules head,reasonable person,logic
92,good mixer groups people,full news everybody,deep friendship people,stand back listen first,dont talk everyone talk certain people,get introduced,really get know,keep feeling,sometimes plan sometimes,idea making list helps,organize start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,daily worki plan work dont need work pressure,fact based courses,invent way,original individual care whether center attention,realistic people,like odd original ways saying things,practical person,someone always coming new ideas,heart rule head,consistently reasonable person,logics feelings
93,good mixer,full news people,many friends friendship depth two,join talk,talk easily anyone,introduce others,getting know menot open book,keep feelings,planning necessary,guess positively depress,organise beforehand carefully,planned picnics fun unplanned plans far better planned plans,following schedule,nice able plan,think adjust well situations,usually plan work,opinion theory,would rather invent way sometimes follow accepted one,like individuals comfortable rather pretentious someone enjoys centre attentionillen,think type people play good role life neither want realistic people imaginative,original ways,practical box person depending scenario,someone coming new ideas,tough competition ive concluded atie,consistently reasonable person situations person feelings,value emotion logic
94,quiet reserved,full news everybody,deep friendship people,stand back listen first,talk easily almost anyone long,get introduced,really get know,show feelings freely,plan day tomorrows stuff,stresses,organize carefully start,free whatever looks like fun time comes,appeals,nice able plan accordingly,successful following carefully worked plan,enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rules head,person real feeling,value emotion logic
95,good mixer,full news everybody,deep friendship people normal acting,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go without plan,positively depress,find necessary go along,arrange picnic parties well advance,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,opinion theory,invent way,normal acting never make centre attention,realistic people,odd original way saying things,box thinking person,someone always coming new ideas,heart rule head,consistently reasonable person,value logic feelings
96,good mixer,good listener listen everybody first,deep friendship people,stand back listen first,find lot say certain people certain conditions,depends guess,right away,keep feelings,sometimes plan loves things without plan,im unable make since stress skip,organize carefully,yes,cramp,nice able plan accordingly,following carefull worked plan,enjoy emergency makes work time,im comfortable teaching maths ill say fact,accepted way,never make themselve center attention,admire,say exactly mean,practical person,practical person whos feet ground,heart rule head,person real feeling,logic
97,,last hear,deep people,stand back listen first,certain people,get introduced,get know,keep,ill plan,help,organize start,arrange,cramp,nice,worked plan,hate work pressure,courses involving opinions theory,accepted way,normal acting never make centre attention,imaginative,odd original,box,always new ideas,head rule heart,yes person real feeling,value emotions
98,depends mood energy levels,last one,broad friendship many people,various scenarios,find lot say certain people certain conditions,get introduced,really get know,keep feelings,wouldnt go anywhere without plan except places usually goto familiar,helps,organise,free whatever looks like fun time comes,appeals,nice able plan accordingly,following carefully worked plan,hate work pressure somehow always gets situation,courses involving opinion theory,definitely invent way interested get conventional way,normal acting ones,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,peculiar times listen heart critical times head rules,consistently reasonable person,value logic much feelings
99,quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people,get introduced,right away,usually keep feelings,go without plan,help,like organize carefully start,free,appealing,find nice ablento plan accordingly,following carefully worked plan,enjoy emergency makes work time,fact based courses,invent way,normalacting,realistic people,like writers say exactly mean,box thinking person,someone always coming new ideas,heart rule head,yesto called person real feeling,emotions logic
100,quiet reserved,last hear,deep friendship,stand back listen,find lot say certain conditions,get introduced,get know,keep feelings,without plan,stress,organize carefully start,ever looks like fun,cramp,little unpleasant tied,unexpected,hate work pressure always work pressure,fact based,invent way,never make centre attention,realistic people,exactly mean,practical person,one groundsometimes new ideas,usually head rule heart,person real feelings,always emotions logic
101,depends upon situation,last,,depends,first one,,first one,last one,always make plans,help,organize,may,first one,first one,first one,depends upon situations,involving opinion practical,maybe,,,last one,,first one,heart,first one,depends upon situation
102,good mixer,full news everybody,deep frienship,join talk,talk easily almost anyone,get introduced,know,keep feelings,without plan,stress,necessary,free looks fun,cramp,ttle unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,fact based,invent way,original individual care,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,omeone always coming new ideas,heart rule head,person real feeling,value emotion logic
103,good mixer,last hear,deep friendship,join talk group,easily,introduce others,right away,keep feelings,without plan,stress,yes carefully,free,cramp,nice,carefully worked,hate work pressure,fact based go,accepted way,normally act,realistic people,writer,practical person,new ideas,heart rule head,consistency,emotions
104,good mixer,one last hear going,,join talk,talk easily,get introduced,really get know,keep,plan,positively depress,organise carefully starting,depends favour,appeal,nice able plan accordingly,successfully following carefully worked plan,hate work pressure,fact based course involving opinions,invent way,original,realistic people,original ways saying,depends,someone always coming new ideas,depends,person real feelings,value emotions logic
105,vary person person group like kind people vibes match,one last hear actually depend upon interest interested knowing,deep friendship people,join talk grp,lot say certain people certain conditions,introduce others,really get know,keep feelings,person go flow usually dont plan thingsfacts,gives stress unnecessarily burdenized things know cant particular time,find necessary go along,free whatever looks like fun time comes,appeal,acc schedule ok nice unpleasant tied,successful carefully worked plan,hate work pressure,fact based courses,accepted way honestly speaking way like get satisfy,normal acting never make center attention,realistic ppl,writers say exactly mean,none emotional sensitive person,feet ground,heart rule head may bcz emotional person,person real feeling,value emotion logic
106,good mixer group people,full news,broad friendships deep friendship well,join talk,talk anyone long,depends situation,maybe,show feelings,go without plan,stress,carefully organize find necessary moment,free whatever looks like fun time comes,cramp,unpleasant tied,dealing unexpected seeing quickly done,hate work underpressure,courses involving opinion theory,invent way,normalacting never make center attention,realistic,enjoy original ways saying things,,friends come new ideas,heart rule head,person real feeling,emotions logic
107,combination id say,full news everybody,broad friendships many different people,join talk,talk easily almost anyone,,get know,keep feelings,go tentative plan,doesnt matter one,organize bit mostly go along,free whatever looks fun,situations appeal,nice able plan accordingly,id say better dealing unexpected,function better pressure,courses involving opinions theories,whatever seems logical ill go,normal acting,dont mind fun know different perspectives,say exactly mean,practical person bit imaginative outlook,coming new ideas,head rule heart,person real feelings,value logic feelings emotions equally important
108,depends people completely strangers im quiet theyre friends friends friends im good mixer,full news,deep friendship people,join,alot say certain people,get introduced,get know,keep feelings,without plan,stress,organize starting,arrange advance,cramp,nice able plan accordingly,dealing unexpected,enjoy emergency,courses involving opinion theory,invent way,original,imaginative,odd ways saying things,box thinking person,someone coming new ideas,head rule heart,person real feeling,logic feelings
109,good mixer,averages,broad friendship,stand back,former,get introduced,right away,show feelings,plan,helps,find,free wherever looks fun,appeal,plan,plan,hate working pressure,,,original,realistic,former,practical,coming new ideas,head ruling,reasonable,emotion
110,good mixer,one last hear going,deep friendship people,join talk group,lot say certain people certain conditions,happens according group,really get know,keep feelings,go without plan depends place going,really helpful staying organize scheduled gives productivity,first organize,prefer unplanned picnics parties whenever free make sudden plan fun,appeals,nice able plan accordingly dont make tough schedule easy follow flexible change something happens suddenly,till successful yes days able deal unexpected situations,yes plan work mind completely ready day,involving opinion theory,sometimes invent sometime accepted way,normalacting never make centre attention,realistic people,really dont like reading always read self help books enjoy odd,guess practical person,someone feet ground,heart rule head,guess consistently reasonable person,emotions
111,bit reserved,usually last hear,deep friendship people,would like listen first,find difficult talking random people,getting introduced,get know,usually expressive around comfortable people,would like make list first,mostly helps,organize carefully starting,like whatever looks like fun,yes,little bit unpleasant tied,would successfully follow worked plan,usually plan work,would like consider emphasize facts,would like invent way,like interact people original,think better realistic people,real things imaginary,practical person,like creative people new ideas,heart rule head,think better addressed person real feelings,depends situation
112,,yes,yes,yes,yes,yes,yes,yes,plain work thats plan must,yes,yes,yes,yes,yes,yes,yes,yes,yes experiece,yes,yes,yes,yes,yes,yes,yes,yes
113,good mixer,one,deep friendship people,join talk group,find lot say certain,introduce others,really get know,keeps feelings themselve,planed,stress,organize carefully start,prefer free whatever looks like fun,appeal,nice able plan accordingly,dealing unexpected,usually planed,,accepted way,admire people normal acting never make center attention,usually get along better realistic people,original ways saying things,box thinking person,always coming nee ideas,heart rule head,compliment called person real feeling,value emotion logic
114,good mixer groups people,full news everybody,deep friendship people,join talk group,talk easily almost anyone long,somehow,really get know,keep feelings,go without plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,fact based coursesgood mixer,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
115,quiet reserved,one last hear going,,stand back listen first,none talk easily people special deeply close friendship circle,none dont like large groups,really get know,keep feelings,go without plan,helps,find necessary go along,free whatever looks fun,situation matters,little unpleasant tied,dealing unexpected,enjoy emergency makes work time,would prefer courses involving opinion theory,invent way,admire people normalacting never make center attention,,enjoy odd original ways saying things,box thinking person,someone feet ground,rule heart,person real feelings,situation matters
116,quiet introvert,one last hear others,people friendship,stand back listen first,certain conditions,get introduced,tell im interested right away,show feelings honestly,ill make schedule,help,organize,like arrange occasions,almost appeal,little unpleasant,unexpected things,awayhate work pressure,fact based courses,invent way,normalacting pay attention,realistic one,exactly mean,practical person,someone always new ideas,heart ruled head,ap person real feelings,value logic feelings
117,thing mixer,well cases im last one hear many im one hear,deep two people,stand back list,jus free talk deep frnds easily,introduces others,feels relaxed share interested things well,keeping feelings self,go without plan beacuse planned something spoil everytime,helps alot,may organize carefully start,free,dont know,yup nice able yo plan accordingly,dealing unexpected things,im kind girl work pressure enjoying time,becuse im teacher well gave fact base example also including opinion someones theory,invent way,original individual,realistic people,like writes thought meant say,practical,yup someone always coming new ideas,even cant judge ruling upon times heart sometimes brain,person real feeling,emotions valuable logic
118,stand middle group passes vibe im good mixer stay talk less,im one news,play along im need friends prefer staying alone,talking something know interest obv would join would something else listening,yes,introduce others,let know im interested,keep,plan things,okay handle,would like organize carefully,depends situation mood,cramp sometimes,unpleasant tied,obv worked plan,plan work easily,would like teach fact base courses,would try invent good way,like people real single faced people nearly impossible get kind people nowadays,realistic ones,like odd original way writers way also good,thin depending situation,someone new ideas,let head rule heart,maybe,value logic
119,really like talking interacting people good mixer,usually informed person whats happening friends close everyone,many friends different groups one friend really close,usually listen conversation join thoughts well part discussion,much like talking new people everyone cannot talk long need certain condition mood,usually introduce friends large group,able tell right away,light matters like showing feelings serious comolex matters like keeping,like plan day know prepare something goes plan like go flow stress,organized sense whenever make list help constant reminder,like figure go along preplanning gets stressful times,love planning parties beforehand everything arranged,usually exhausting follow certain schedule time appealing cramps,find nice plan accordingly thing planned bound happen,successful following preplanned worked plan,like working pressure since procrastinate alot cant stick schedule work,theoretical courses prefer involve understanding concepts brings analytical side every student,would want way variety people perceive thing sense uniqueness,like normal acting people believe actions talk center attention takes away,imaginative people,prefer poetic original ways saying things depends perception everyone understand unique way though times leisure reading better read writer says,practical,like coming ideas staying practical,usually mix varying situations important serious matter head rules matters preference heart,person real feeling shows original natural people reasonable always real feeling consistent personality,depends situation usually inclined towards logic
120,sometime good mixer groups people,full news,people,join talk group,talk easily,get introduce,really get know,sometime freely show sometime,time go make plane time without plannig,sometime mich stress due impulsive behavior,organize carefully start,prefer arrange picnics,following schedule appeal,sometime,yes successfully following carefully worked plan,time make plane,courses involving opinion,invent way,normal acting,realistic people,enjoy odd original,time practical time box thinking person,new ideas,heart rule head,reasonable person,gave value emotion logic
121,yes,yes,yes people,yes,yes,yes,yes,yes,yes,yes,like organize carefully,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
122,yes,yes,people,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
123,good mixer group people,last hear going,broad friendship many different people,stand back listen first,find lot say certain people certain condition,introduce others,meet new people tell get interested right way,keep feelings,going somewhere make plane,positively,find necessary go along,yes prefer arrange picnics parties etcin advance,appeal,little unpleasant tied,successful following carefully worked plan,hate work pressure,would teach basiss opinions theory,invent way,normal acting nerve make center attention,like realistic people compare imaginative people,original ways saying things,box thinking person,yes friend someone always coming new ideas,head rule heart,consistently reasonable person,value logic emotions
124,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,different every person im,plan,stress,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,courses involving opinion theory,accepted way,original individual care whether center attention,mix,enjoy odd original ways saying things,practical person,someone always coming new ideas,head rule heart,middle,either depending situation equally need considered depending context
125,really depends group could either reserved extrovert person,,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,help,find necessary go along,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,accepted way,normalacting never make center attention,realistic people,didnt get question,practical person,someone feet ground,head rule heart,person real feeling,value logic feelings
126,good mixer groups people,one knows news people also doesnt know middle two options,im,join talk group,talk easily almost anyone long,often introduce others,really get know,show feelings freely,plan,helps also stresses,organize carefully start,arrange picnics parties etc well advance,cramp,little unpleasant tied,following carefully worked plan,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
127,rather quiet reserved,full news everybody,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,often introduce others,really get know,depends person listening,plan,stress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,factsbased courses,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,,head rule heart,consistently reasonable person,value logic feelings
128,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,positively depress,organize carefully start,free whatever looks like fun time comes,appeal,little unpleasant tied,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,accepted way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,heart rule head,consistently reasonable person,value emotion logic
129,rather quiet reserved,full news everybody,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,stress,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,hate work pressure,courses involving opinion theory,accepted way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,head rule heart,person real feeling,value logic feelings
130,rather quiet reserved,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,stress,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,accepted way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone feet ground,head rule heart,person real feeling,value logic feelings
131,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,positively depress,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,heart rule head,person real feeling,value emotion logic
132,good mixer groups people,full news everybody,deep friendship people,stand back listen first,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,stress,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,depends situation,normalacting never make center attention,imaginative people,like writers say exactly mean,practical person,someone feet ground,heart rule head,person real feeling,value emotion logic
133,depends,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,help,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,head rule heart,person real feeling,value logic feelings
134,good mixer groups people,full news everybody,deep friendship people,stand back listen first,talk easily almost anyone long,often introduce others,really get know,keep feelings,plan,help,find necessary go along,arrange picnics parties etc well advance,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
135,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,help,organize carefully start,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,factsbased courses,probably prefere situation weather accept make way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,maybe,heart rule head,person real feeling,value logic feelings
136,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,talk easily know comfortable,get introduced,really get know,keep feelings,plan,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
137,sometimes wants alone sometimes wants mixed others,sometimes last one sometimes one full news,deep friendship people,stand back listen first,talk easily almost anyone long,get introduced,really get know,keep feelings,plan,help,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,hate work pressure,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
138,good mixer groups people,one last hear going,deep friendship people,join talk group,find lot say certain people certain conditions,often introduce others,really get know,show feelings freely,plan,stress,organize carefully start,arrange picnics parties etc well advance,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,accepted way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone feet ground,heart rule head,consistently reasonable person,value emotion logic
139,rather quiet reserved,one last hear going,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,positively depress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
140,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,stress,find necessary go along,free whatever looks like fun time comes,cramp,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,factsbased courses,accepted way,original individual care whether center attention,imaginative people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
141,rather quiet reserved,one last hear going,,stand back listen first,find lot say certain people certain conditions,often introduce others,never,keep feelings,plan,help,find necessary go along,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,head rule heart,person real feeling,value emotion logic
142,rather quiet reserved,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,stress,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
143,good mixer groups people,full news everybody,broad friendships many different people,join talk group,find lot say certain people certain conditions,often introduce others,right away,keep feelings,go,help,find necessary go along,free whatever looks like fun time comes,cramp,little unpleasant tied,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
