,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
229,good mixer groups people,full news everybody,deep friendship people,stand back listen first,talk easily almost anyone long,often introduce others,really get know,keep feelings,plan,help,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,usually plan work wont need work pressure,factsbased courses,accepted way,normalacting never make center attention,realistic people,enjoy odd original ways saying things,outoftheboxthinking person,someone feet ground,head rule heart,consistently reasonable person,value logic feelings
230,good mixer groups people,one last hear going,deep friendship people,stand back listen first,find lot say certain people certain conditions,often introduce others,right away,keep feelings,go,help,find necessary go along,arrange picnics parties etc well advance,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,invent way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,practical person,someone feet ground,head rule heart,person real feeling,value emotion logic
231,good mixer groups people,one last hear going,deep friendship people,stand back listen first,talk easily almost anyone long,get introduced,really get know,show feelings freely,plan,help,organize carefully start,arrange picnics parties etc well advance,cramp,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,courses involving opinion theory,accepted way,normalacting never make center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,heart rule head,consistently reasonable person,value emotion logic
232,good mixer groups people,full news everybody,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,plan,help,find necessary go along,arrange picnics parties etc well advance,appeal,nice able plan accordingly,following carefully worked plan,usually plan work wont need work pressure,courses involving opinion theory,invent way,original individual care whether center attention,real peope,enjoy odd original ways saying things,outoftheboxthinking person,someone always coming new ideas,head rule heart,person real feeling,value emotion logic
233,,one last hear going,broad friendships many different people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,stress,find necessary go along,free whatever looks like fun time comes,appeal,little unpleasant tied,following carefully worked plan,rather enjoy emergency makes work time,courses involving opinion theory,accepted way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone always coming new ideas,head rule heart,consistently reasonable person,value logic feelings
234,good mixer groups people,full news everybody,deep friendship many people,join talk group,find lot say certain people certain conditions,depends,really get know,depend situation,,c,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,option c well option rarely go according plan end end mostly working pressure,courses involving opinion theory,invent way,original individual care whether center attention,dont know never thought,enjoy odd original ways saying things,practical person,someone feet ground,sometimes sometimes b,person real feeling,depends
235,good mixer groups people,full news everybody,deep friendship people,stand back listen first,talk easily almost anyone long,often introduce others,really get know,keep feelings,plan,help,organize carefully start,arrange picnics parties etc well advance,cramp,nice able plan accordingly,dealing unexpected seeing quickly done,hate work pressure,courses involving opinion theory,invent way,original individual care whether center attention,realistic people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,value logic feelings
236,rather quiet reserved,full news everybody,deep friendship people,join talk group,find lot say certain people certain conditions,often introduce others,right away,keep feelings,plan,positively depress,organize carefully start,free whatever looks like fun time comes,appeal,nice able plan accordingly,dealing unexpected seeing quickly done,rather enjoy emergency makes work time,factsbased courses,invent way,original individual care whether center attention,realistic people,like writers say exactly mean,outoftheboxthinking person,someone always coming new ideas,heart rule head,person real feeling,value emotion logic
237,rather quiet reserved,middle,deep friendship people,stand back listen first,find lot say certain people certain conditions,get introduced,really get know,keep feelings,go,positively depress,find necessary go along,free whatever looks like fun time comes,appeal,nice able plan accordingly,following carefully worked plan,rather enjoy emergency makes work time,factsbased courses,accepted way,original individual care whether center attention,imaginative people,enjoy odd original ways saying things,practical person,someone always coming new ideas,heart rule head,person real feeling,
238,good mixer groups people,,broad friendships many different people,join talk group,talk easily almost anyone long,get introduced,really get know,show feelings freely,go,positively depress,find necessary go along,free whatever looks like fun time comes,appeal,little unpleasant tied,dealing unexpected seeing quickly done,hate work pressure,factsbased courses,invent way,normalacting never make center attention,realistic people,like writers say exactly mean,practical person,someone feet ground,head rule heart,consistently reasonable person,value emotion logic
